,Revenue,Quantity,log_Revenue,log_Quantity,day_of_week,month,quarter,is_weekend,is_month_end,lag_1,lag_7,lag_30,rolling_7_mean,rolling_30_mean,rolling_7_std
2010-01-22,29345.83,16974,10.286939812608777,9.739496952426897,4,1,1,False,False,27359.23,13499.55,9485.67,15062.571571428572,12573.047700000001,8608.963798447934
2010-01-23,0.0,0,0.0,0.0,5,1,1,True,False,29345.83,0.0,0.0,17326.32585714286,13235.053033333334,10086.144760180505
2010-01-24,15552.32,8700,9.65202939964162,9.071193240566025,6,1,1,True,False,0.0,17363.25,0.0,17326.32585714286,13235.053033333334,10086.144760180505
2010-01-25,18346.54,9104,9.817250784550374,9.116578992161708,0,1,1,False,False,15552.32,12078.84,0.0,17067.621571428575,13753.4637,10108.240324743496
2010-01-26,38570.37,22305,10.560265570405527,10.012610979554482,1,1,1,False,False,18346.54,21892.791,0.0,17963.007285714288,14365.015033333333,9867.4111474313
2010-01-27,23722.72,16985,10.074230670494769,9.740144754339955,2,1,1,False,False,38570.37,13244.34,0.0,20345.518571428573,15650.694033333333,12607.408498748433
2010-01-28,18914.83,10855,9.847754416622514,9.292473201514705,3,1,1,False,False,23722.72,27359.23,0.0,21842.43,16441.451366666664,12240.46594930656
2010-01-29,25382.441,9471,10.141852311274567,9.156095357123787,4,1,1,False,False,18914.83,29345.83,0.0,20636.087142857148,17071.9457,12020.281179697522
2010-01-30,0.0,0,0.0,0.0,5,1,1,True,False,25382.441,0.0,0.0,20069.888714285717,17918.02706666667,11628.608024393898
2010-01-31,18261.86,10557,9.812624768390332,9.264639145383562,6,1,1,True,True,0.0,15552.32,0.0,20069.888714285717,17918.02706666667,11628.608024393898
2010-02-01,16606.931,8581,9.717635631332707,9.05742226555147,0,2,1,False,False,18261.86,18346.54,0.0,20456.965857142863,18526.755733333335,11497.52790278357
2010-02-02,19532.03,10543,9.87986215776618,9.263312256742289,1,2,1,False,False,16606.931,38570.37,0.0,20208.45028571429,19080.3201,11569.323218680087
2010-02-03,17230.061,9369,9.754468906267991,9.145268375232467,2,2,1,False,False,19532.03,23722.72,13415.09,17488.687428571433,19731.387766666667,8312.772474182273
2010-02-04,22486.01,12794,10.020693088138117,9.456809748593889,3,2,1,False,False,17230.061,18914.83,19051.19,16561.16471428572,19858.553466666664,7850.634306373448
2010-02-05,19420.74,9889,9.874148336183838,9.199279424616758,4,2,1,False,False,22486.01,25382.441,8731.26,17071.33328571429,19973.047466666667,8139.788097753798
2010-02-06,0.0,0,0.0,0.0,5,2,1,True,False,19420.74,0.0,72989.38,16219.661714285718,20329.363466666666,7403.880636414261
2010-02-07,17023.920000000002,11179,9.742433432034574,9.32188174670909,6,2,1,True,False,0.0,18261.86,30292.7,16219.661714285716,17896.384133333333,7403.880636414261
2010-02-08,13016.04,7043,9.474014547366401,8.859931469616097,0,2,1,False,False,17023.920000000002,16606.931,0.0,16042.813142857147,17454.09146666667,7361.635014282625
2010-02-09,18398.26,10629,9.820065725397031,9.271435471335993,1,2,1,False,False,13016.04,19532.03,23157.33,15529.828714285715,17887.959466666667,7440.4645468204035
2010-02-10,6082.34,3066,8.713309166232339,8.028455164114252,2,2,1,False,False,18398.26,17230.061,19684.49,15367.861571428573,17729.323800000002,7350.620443845566
2010-02-11,15061.87,9027,9.619988054246665,9.108086137937427,3,2,1,False,False,6082.34,22486.01,38833.58,13775.330000000002,17275.9188,8053.878485514483
2010-02-12,9728.96,7324,9.182965064174684,8.899048433885268,4,2,1,False,False,15061.87,19420.74,12391.1,12714.738571428574,16483.528466666667,7154.194711464549
2010-02-13,0.0,0,0.0,0.0,5,2,1,True,False,9728.96,0.0,23721.64,11330.198571428573,16394.790466666665,6552.617457343333
2010-02-14,17772.19,10892,9.785446421075887,9.295875660082446,6,2,1,True,False,0.0,17023.920000000002,13499.55,11330.198571428573,15604.069133333334,6552.617457343333
2010-02-15,42318.211,96358,10.65299642269109,11.475836078924855,0,2,1,False,False,17772.19,13016.04,0.0,11437.094285714285,15746.490466666666,6666.103012720017
2010-02-16,25669.010000000002,15744,10.153078663424907,9.664278133535126,1,2,1,False,False,42318.211,18398.26,17363.25,15623.118714285714,17157.0975,13509.948634208225
2010-02-17,26455.22,24986,10.183246570321035,10.12611096860345,2,2,1,False,False,25669.010000000002,6082.34,12078.84,16661.797285714285,17433.956166666667,14028.416535370676
2010-02-18,35737.24,19851,10.483976542956938,9.89606003670733,3,2,1,False,False,26455.22,15061.87,21892.791,19572.208714285716,17913.168833333337,13573.697433852778
2010-02-19,18931.99,10862,9.848661182073897,9.293117798433752,4,2,1,False,False,35737.24,9728.96,13244.34,22525.833000000002,18374.650466666666,14636.53749102509
2010-02-20,0.0,0,0.0,0.0,5,2,1,True,False,18931.99,0.0,27359.23,23840.551571428576,18564.2388,13677.388474127678
2010-02-21,11394.731,5555,9.340994090565598,8.622633703874234,6,2,1,True,False,0.0,17772.19,29345.83,23840.551571428576,17652.264466666667,13677.388474127678
2010-02-22,26336.24,13423,10.178739186207999,9.504799428706987,0,2,1,False,False,11394.731,42318.211,0.0,22929.486000000004,17053.894500000002,14345.085610524777
2010-02-23,20840.01,11574,9.9446779591843,9.356602878954435,1,2,1,False,False,26336.24,25669.010000000002,15552.32,20646.347285714288,17931.76916666667,11789.00014144477
2010-02-24,30392.661,21941,10.321989345914208,9.996157887377436,2,2,1,False,False,20840.01,26455.22,18346.54,19956.490142857143,18108.0255,11585.639029796617
2010-02-25,44604.16,26014,10.705604826383261,10.166428573724405,3,2,1,False,False,30392.661,35737.24,38570.37,20518.981714285714,18509.562866666663,12040.401331907095
2010-02-26,12778.641,6798,9.45560863677015,8.82453082152646,4,2,1,False,False,44604.16,18931.99,23722.72,21785.684571428574,18710.6892,14183.889101760347
2010-02-27,0.0,0,0.0,0.0,5,2,1,True,False,12778.641,0.0,18914.83,20906.63471428572,18345.886566666668,14575.495537244622
2010-02-28,16741.49,8419,9.725705078501662,9.038365107236372,6,2,1,True,True,0.0,11394.731,25382.441,20906.63471428572,17715.392233333332,14575.495537244622
2010-03-01,23933.87,21188,10.083091670435214,9.961237458077031,0,3,1,False,False,16741.49,26336.24,0.0,21670.45742857143,17427.360533333333,14127.152126233816
2010-03-02,21667.8,11019,9.983628716901107,9.307467082706905,1,3,1,False,False,23933.87,20840.01,18261.86,21327.261714285713,18225.1562,14023.71556544509
2010-03-03,31849.7,20031,10.368814638780774,9.905086273899824,2,3,1,False,False,21667.8,30392.661,16606.931,21445.517428571427,18338.687533333334,14022.412124620809
2010-03-04,29966.350000000002,18044,10.307863734646187,9.800623917076889,3,3,1,False,False,31849.7,44604.16,19532.03,21653.66585714286,18846.779833333334,14187.204371486307
2010-03-05,25361.64,17947,10.141032504079407,9.795233967095873,4,3,1,False,False,29966.350000000002,12778.641,17230.061,19562.550142857148,19194.5905,10950.089718154371
2010-03-06,0.0,0,0.0,0.0,5,3,1,True,False,25361.64,0.0,22486.01,21360.12142857143,19465.643133333335,10680.324364892402
2010-03-07,19034.6,10876,9.85406618920241,9.294405747093851,6,3,1,True,False,0.0,16741.49,19420.74,21360.12142857143,18716.109466666665,10680.324364892402
2010-03-08,26605.58,13876,10.18891383260032,9.53798807237101,0,3,1,False,False,19034.6,23933.87,0.0,21687.708571428575,18703.238133333336,10549.41603063479
2010-03-09,19665.69,11984,9.88668162065972,9.391411146868485,1,3,1,False,False,26605.58,21667.8,17023.920000000002,22069.38142857143,19590.0908,10691.597717834986
2010-03-10,22905.79,17302,10.039188652143169,9.758635175856648,2,3,1,False,False,19665.69,31849.7,13016.04,21783.36571428572,19678.1498,10730.838740738236
2010-03-11,21537.09,13706,9.977578274541067,9.525661930231381,3,3,1,False,False,22905.79,29966.350000000002,18398.26,20505.66428571429,20007.808133333332,9826.889167142124
2010-03-12,19123.05,10586,9.858701984258367,9.26738211234338,4,3,1,False,False,21537.09,25361.64,6082.34,19301.484285714287,20112.4358,8951.865938940431
2010-03-13,0.0,0,0.0,0.0,5,3,1,True,False,19123.05,0.0,15061.87,18410.257142857146,20547.12613333333,8549.481207499692
2010-03-14,8947.9,4927,9.099285898687526,8.502688505213357,6,3,1,True,False,0.0,19034.6,9728.96,18410.257142857146,20045.0638,8549.481207499692
2010-03-15,20536.681,13990,9.93001657545337,9.546169544733285,0,3,1,False,False,8947.9,26605.58,0.0,16969.300000000003,20019.028466666667,9248.186036436184
2010-03-16,21048.78,12256,9.9546453877495,9.413852481341165,1,3,1,False,False,20536.681,19665.69,17772.19,16102.314428571432,20703.5845,8443.738675102228
2010-03-17,29543.78,78565,10.293662357483647,11.271694314857363,2,3,1,False,False,21048.78,22905.79,42318.211,16299.898714285717,20812.804166666665,8556.449187767168
2010-03-18,37570.75,20574,10.534007717201073,9.93183202554527,3,3,1,False,False,29543.78,21537.09,25669.010000000002,17248.183,20386.9898,9701.759517760487
2010-03-19,35274.3,12780,10.470938281291513,9.455714972131714,4,3,1,False,False,37570.75,19123.05,26455.22,19538.70585714286,20783.714466666668,12400.479614003649
2010-03-20,0.0,0,0.0,0.0,5,3,1,True,False,35274.3,0.0,35737.24,21846.027285714288,21077.6838,13740.459696081554
2010-03-21,20485.48,12262,9.927520435357543,9.414341877762027,6,3,1,True,False,0.0,8947.9,18931.99,21846.027285714288,19886.442466666667,13740.459696081554
2010-03-22,21494.16,12051,9.975583072494212,9.396985900250192,0,3,1,False,False,20485.48,20536.681,0.0,23494.253000000004,19938.225466666667,12578.250152276072
2010-03-23,41826.29,54157,10.64130427629881,10.899660979282453,1,3,1,False,False,21494.16,21048.78,11394.731,23631.035714285714,20654.69746666667,12545.891988059755
2010-03-24,25970.5,13663,10.164755061941447,9.522519916028351,2,3,1,False,False,41826.29,29543.78,26336.24,26599.25142857143,21669.082766666666,14184.049356692221
2010-03-25,30503.38,16603,10.325625558842445,9.71739890917293,3,3,1,False,False,25970.5,37570.75,20840.01,26088.782857142858,21656.891433333334,14124.591850342338
2010-03-26,29867.35,20215,10.304554670313799,9.91422964906803,4,3,1,False,False,30503.38,35274.3,30392.661,25079.158571428572,21979.00376666667,13401.133532332791
2010-03-27,0.0,0,0.0,0.0,5,3,1,True,False,29867.35,0.0,44604.16,24306.737142857142,21961.4934,12860.480188503481
2010-03-28,22402.0,14517,10.01695015744693,9.583144537844786,6,3,1,True,False,0.0,20485.48,12778.641,24306.737142857146,20474.688066666666,12860.480188503481
2010-03-29,31740.38,18251,10.365376471396118,9.812029942047293,0,3,1,False,False,22402.0,21494.16,0.0,24580.52571428572,20795.4667,12785.75379235272
2010-03-30,33524.51,18224,10.420061920562134,9.81054955687686,1,3,1,False,False,31740.38,41826.29,16741.49,26044.271428571432,21853.47936666667,12958.864402984842
2010-03-31,24591.07,12506,10.110179312228457,9.434043766548907,2,3,1,False,True,33524.51,25970.5,23933.87,24858.302857142855,22412.913366666668,11580.365627642788
2010-04-01,28646.66,16895,10.2628270434146,9.734832186505988,3,4,2,False,False,24591.07,30503.38,21667.8,24661.24142857143,22434.820033333333,11570.017335684839
2010-04-02,0.0,0,0.0,0.0,4,4,2,False,False,28646.66,29867.35,31849.7,24395.995714285713,22667.4487,11434.248976702784
2010-04-03,0.0,0,0.0,0.0,5,4,2,True,False,0.0,0.0,29966.350000000002,20129.23142857143,21605.792033333335,14272.60922682608
2010-04-04,0.0,0,0.0,0.0,6,4,2,True,False,0.0,22402.0,25361.64,20129.23142857143,20606.9137,14272.60922682608
2010-04-05,0.0,0,0.0,0.0,0,4,2,False,False,0.0,31740.38,0.0,16928.945714285717,19761.525700000002,16075.716288885187
2010-04-06,17900.83,12715,9.792658221240114,9.450616322030694,1,4,2,False,False,0.0,33524.51,19034.6,12394.605714285717,19761.525700000002,15673.017513933357
2010-04-07,32146.75,22970,10.378097742768839,10.041987829781233,2,4,2,False,False,17900.83,24591.07,26605.58,10162.651428571431,19723.733366666667,13056.512928923534
2010-04-08,39866.6,25830,10.593319242927754,10.159330600013353,3,4,2,False,False,32146.75,28646.66,19665.69,11242.034285714288,19908.439033333332,14661.747481335973
2010-04-09,14668.53,8676,9.593527832450652,9.06843112579349,4,4,2,False,False,39866.6,0.0,22905.79,12844.882857142858,20581.8027,17263.940919902685
2010-04-10,0.0,0,0.0,0.0,5,4,2,True,False,14668.53,0.0,21537.09,14940.387142857144,20307.227366666666,16308.784148034776
2010-04-11,19732.05,11585,9.890050173992801,9.35755275165657,6,4,2,True,False,0.0,0.0,19123.05,14940.387142857144,19589.324366666668,16308.784148034776
2010-04-12,25912.471,12188,10.16251822830439,9.408289184655837,0,4,2,False,False,19732.05,0.0,0.0,17759.25142857143,19609.624366666667,14944.238222206162
2010-04-13,25736.04,14373,10.155686478422561,9.573176298028388,1,4,2,False,False,25912.471,17900.83,8947.9,21461.033,20473.3734,12878.555863081196
2010-04-14,27054.25,16322,10.205636350470291,9.700330435154035,2,4,2,False,False,25736.04,32146.75,20536.681,22580.348714285716,21032.978066666667,12858.031034351836
2010-04-15,19538.34,10700,9.88018514815836,9.278092474027002,3,4,2,False,False,27054.25,39866.6,21048.78,21852.848714285716,21250.230366666667,12361.01895669831
2010-04-16,19363.82,14781,9.87121329678559,9.601165503344832,4,4,2,False,False,19538.34,14668.53,29543.78,18948.811571428574,21199.88236666667,9474.495861719186
2010-04-17,0.0,0,0.0,0.0,5,4,2,True,False,19363.82,0.0,37570.75,19619.56728571429,20860.55036666667,9285.279210213603
2010-04-18,23934.46,12961,10.083116320359292,9.469777278987662,6,4,2,True,False,0.0,19732.05,35274.3,19619.56728571429,19608.192033333336,9285.279210213603
2010-04-19,24561.04,14564,10.108957440700882,9.586376669393536,0,4,2,False,False,23934.46,25912.471,0.0,20219.911571428576,19230.197366666667,9428.513615754464
2010-04-20,21202.35,12416,9.961914467044362,9.426821780416843,1,4,2,False,False,24561.04,25736.04,20485.48,20026.850000000002,20048.8987,9305.558086504003
2010-04-21,25873.86,11566,10.161027119925013,9.355911495295402,2,4,2,False,False,21202.35,27054.25,21494.16,19379.18,20072.794366666665,8994.545408184897
2010-04-22,35741.2,21229,10.484087342498857,9.963170554697301,3,4,2,False,False,25873.86,19538.34,41826.29,19210.552857142862,20218.784366666667,8836.347337406474
2010-04-23,14969.64,9829,9.613846228670834,9.193194213141211,4,4,2,False,False,35741.2,19363.82,25970.5,21525.247142857144,20015.948033333334,10833.100423394828
2010-04-24,0.0,0,0.0,0.0,5,4,2,True,False,14969.64,0.0,30503.38,20897.507142857146,19649.2527,11103.169246244839
2010-04-25,16574.53,8380,9.715682790410115,9.033722518098907,6,4,2,True,False,0.0,23934.46,29867.35,20897.507142857146,18632.473366666665,11103.169246244839
2010-04-26,29734.03,17979,10.300081091052242,9.79701530802561,0,4,2,False,False,16574.53,24561.04,0.0,19846.088571428576,18189.379366666664,11116.121067315446
2010-04-27,43534.06,22759,10.681321869463213,10.032759888240268,1,4,2,False,False,29734.03,21202.35,22402.0,20585.087142857144,19180.5137,11641.353529553904
2010-04-28,31181.87,19058,10.347624184559228,9.855294709934643,2,4,2,False,False,43534.06,25873.86,31740.38,23775.33142857143,19884.9157,14538.210593385087
2010-04-29,29575.671,16370,10.294741187673154,9.703266755854342,3,4,2,False,False,31181.87,35741.2,33524.51,24533.618571428575,19866.2987,14801.944687852596
2010-04-30,24532.95,16441,10.107813151602523,9.707594315712079,4,4,2,False,True,29575.671,14969.64,24591.07,23652.828714285715,19734.670733333332,14194.877450808148
2010-05-01,0.0,0,0.0,0.0,5,5,2,True,False,24532.95,0.0,28646.66,25019.01585714286,19732.7334,13670.398989088804
2010-05-02,12342.17,6296,9.42085815263782,8.747828608488742,6,5,2,True,False,0.0,16574.53,0.0,25019.01585714286,18777.84473333333,13670.398989088804
2010-05-03,0.0,0,0.0,0.0,0,5,2,False,False,12342.17,29734.03,0.0,24414.393000000004,19189.2504,14189.861104699008
2010-05-04,18945.33,10501,9.849365524208418,9.259320994197804,1,5,2,False,False,0.0,43534.06,0.0,20166.67442857143,19189.2504,16580.989140861308
2010-05-05,23625.22,14814,10.070112391240274,9.603395460007665,2,5,2,False,False,18945.33,31181.87,0.0,16653.998714285717,19820.7614,13029.837197687399
2010-05-06,51704.13,30422,10.853312281879525,10.322954180280107,3,5,2,False,False,23625.22,29575.671,17900.83,15574.477285714287,20608.26873333333,11888.658887824768
2010-05-07,31976.09,22834,10.372774987876223,10.0360497256191,4,5,2,False,False,51704.13,24532.95,32146.75,18735.685714285715,21735.0454,17736.060111320156
2010-05-08,0.0,0,0.0,0.0,5,5,2,True,False,31976.09,0.0,39866.6,19798.99142857143,21729.356733333334,18353.894540354308
2010-05-09,22852.06,11825,10.036840304205306,9.378055776380775,6,5,2,True,False,0.0,12342.17,14668.53,19798.99142857143,20400.47006666667,18353.894540354308
2010-05-10,26496.43,14734,10.184803026139264,9.597980895171796,0,5,2,False,False,22852.06,0.0,0.0,21300.40428571429,20673.254399999998,18069.910656031534
2010-05-11,25201.04,17134,10.134680222604,9.74887843430871,1,5,2,False,False,26496.43,18945.33,19732.05,25085.608571428573,21556.468733333335,15449.525811484134
2010-05-12,29744.74,21360,10.30044120744333,9.969322108457675,2,5,2,False,False,25201.04,23625.22,25912.471,25979.28142857143,21738.768399999997,15214.285129712182
2010-05-13,38966.0,26351,10.570470413075393,10.179299452417421,3,5,2,False,False,29744.74,51704.13,25736.04,26853.49857142857,21866.5107,15232.279955206352
2010-05-14,16895.24,13848,9.734846390950558,9.535968306842717,4,5,2,False,False,38966.0,31976.09,27054.25,25033.76571428572,22307.50936666667,12234.602095161445
2010-05-15,0.0,0,0.0,0.0,5,5,2,True,False,16895.24,0.0,19538.34,22879.358571428576,21968.8757,12135.776131719571
2010-05-16,18370.09,11028,9.818533512322576,9.308283446306147,6,5,2,True,False,0.0,22852.06,19363.82,22879.358571428576,21317.5977,12135.776131719571
2010-05-17,23290.76,13483,10.055854928936897,9.50925907635395,0,5,2,False,False,18370.09,26496.43,0.0,22239.077142857142,21284.473366666665,12255.103763997973
2010-05-18,26164.58,21947,10.17220008557763,9.996431298178866,1,5,2,False,False,23290.76,25201.04,23934.46,21781.12428571429,22060.832033333332,12128.742359538437
2010-05-19,16575.5,9421,9.715741308696947,9.150802659259986,2,5,2,False,False,26164.58,29744.74,24561.04,21918.772857142863,22135.169366666665,12179.385438423837
2010-05-20,25331.44,15470,10.139841066820704,9.646722582719068,3,5,2,False,False,16575.5,38966.0,21202.35,20037.45285714286,21868.984699999997,11779.59978419006
2010-05-21,22494.36,9052,10.021064344703563,9.11085147347544,4,5,2,False,False,25331.44,16895.24,25873.86,18089.658571428572,22006.621033333337,8904.426907698644
2010-05-22,0.0,0,0.0,0.0,5,5,2,True,False,22494.36,0.0,35741.2,18889.532857142858,21893.971033333335,9029.849372753892
2010-05-23,24824.93,13755,10.119643950447331,9.529230371552156,6,5,2,True,False,0.0,18370.09,14969.64,18889.532857142858,20702.5977,9029.849372753892
2010-05-24,33536.19,32351,10.420410251306889,10.384431121820198,0,5,2,False,False,24824.93,23290.76,0.0,19811.652857142857,21031.107366666663,9293.690148594935
2010-05-25,20415.92,14606,9.924119247825148,9.589256144850811,1,5,2,False,False,33536.19,26164.58,16574.53,21275.285714285717,22148.980366666667,10641.892412843154
2010-05-26,29586.64,18023,10.29511198553897,9.79945948211208,2,5,2,False,False,20415.92,16575.5,29734.03,20454.048571428575,22277.026700000002,10421.224675824544
2010-05-27,29221.670000000002,17496,10.2827000569002,9.76978471664462,3,5,2,False,False,29586.64,25331.44,43534.06,22312.782857142858,22272.113699999998,10768.692102805424
2010-05-28,18569.88,12005,9.829350041484599,9.393161803811788,4,5,2,False,False,29221.670000000002,22494.36,31181.87,22868.530000000002,21795.034033333333,11047.223060036406
2010-05-29,0.0,0,0.0,0.0,5,5,2,True,False,18569.88,0.0,29575.671,22307.890000000007,21374.634366666665,11168.295842813268
2010-05-30,10702.97,6204,9.2783699796735,8.733110697638708,6,5,2,True,False,0.0,24824.93,24532.95,22307.890000000007,20388.778666666665,11168.295842813268
2010-05-31,0.0,0,0.0,0.0,0,5,2,False,True,10702.97,33536.19,0.0,20290.467142857146,19927.779333333332,11890.007745643283
2010-06-01,13093.79,7769,9.479969720158012,8.958025443361693,1,6,2,False,False,0.0,20415.92,12342.17,15499.582857142857,19927.779333333332,12408.462047746172
2010-06-02,13714.76,11289,9.526300815616949,9.331672657143708,2,6,2,False,False,13093.79,29586.64,0.0,14453.564285714287,19952.833333333332,12232.320349174499
2010-06-03,26644.63,16947,10.190380438662284,9.73790511174645,3,6,2,False,False,13714.76,29221.670000000002,18945.33,12186.15285714286,20409.992000000002,10273.96171430754
2010-06-04,11447.73,6389,9.34563408580007,8.762489547371581,4,6,2,False,False,26644.63,18569.88,23625.22,11818.004285714287,20666.635333333335,9584.846714247888
2010-06-05,0.0,0,0.0,0.0,5,6,2,True,False,11447.73,0.0,51704.13,10800.554285714288,20260.719,9115.175671024037
2010-06-06,25457.15,14079,10.144791206470527,9.552510629712033,6,6,2,True,False,0.0,10702.97,31976.09,10800.554285714288,18537.248000000003,9115.175671024037
2010-06-07,45523.11,28736,10.725997354706744,10.265940770051001,0,6,2,False,False,25457.15,0.0,0.0,12908.294285714288,18319.95,10663.230162320822
2010-06-08,48215.48,25001,10.78345615031492,10.126711100650509,1,6,2,False,False,45523.11,13093.79,22852.06,19411.595714285715,19837.387000000002,14624.628208276908
2010-06-09,36508.94,24843,10.505339831262958,10.120371553679194,2,6,2,False,False,48215.48,13714.76,26496.43,24428.980000000003,20682.834333333336,17780.17888356583
2010-06-10,18009.12,9677,9.798689101112824,9.177610547353265,3,6,2,False,False,36508.94,26644.63,25201.04,27685.29142857143,21016.58466666667,17577.042514522018
2010-06-11,30835.29,20517,10.336447522126965,9.929057828647657,4,6,2,False,False,18009.12,11447.73,29744.74,26451.647142857142,20776.854,17961.100147654022
2010-06-12,0.0,0,0.0,0.0,5,6,2,True,False,30835.29,0.0,38966.0,29221.298571428575,20813.20566666667,16713.311675144294
2010-06-13,21147.77,10942,9.959337026754929,9.300455261418444,6,6,2,True,False,0.0,25457.15,16895.24,29221.298571428575,19514.339,16713.311675144294
2010-06-14,21317.37,15586,9.967324421323251,9.65419251248905,0,6,2,False,False,21147.77,45523.11,0.0,28605.67285714286,19656.090000000004,16952.722529082384
2010-06-15,26937.46,18633,10.201310284262128,9.83274314801037,1,6,2,False,False,21317.37,48215.48,18370.09,25147.710000000003,20366.669,15316.581081155162
2010-06-16,29229.94,18495,10.28298301632923,9.825309771472105,2,6,2,False,False,26937.46,36508.94,23290.76,22107.992857142857,20652.248,11647.517376556716
2010-06-17,22635.35,12892,10.027312300238654,9.464439807410837,3,6,2,False,False,29229.94,18009.12,26164.58,21068.135714285716,20850.22066666667,10406.357820859423
2010-06-18,17788.69,9315,9.7863743549881,9.139488631004232,4,6,2,False,False,22635.35,30835.29,16575.5,21729.02571428571,20732.57966666667,10326.30018372967
2010-06-19,0.0,0,0.0,0.0,5,6,2,True,False,17788.69,0.0,25331.44,19865.225714285716,20773.019333333334,9557.551954056824
2010-06-20,9078.58,4487,9.113783215018913,8.409162447202533,6,6,2,True,False,0.0,21147.77,22494.36,19865.225714285716,19928.638,9557.551954056824
2010-06-21,18116.21,11305,9.804617594231898,9.333088837235236,0,6,2,False,False,9078.58,21317.37,0.0,18141.055714285718,19481.445333333337,10343.905345060059
2010-06-22,12414.03,6355,9.426663114371083,8.757154527656606,1,6,2,False,False,18116.21,26937.46,24824.93,17683.747142857144,20085.319000000003,10250.414574435057
2010-06-23,25098.239999999998,15489,10.130592845776999,9.647949933410914,2,6,2,False,False,12414.03,29229.94,33536.19,15608.971428571429,19671.622333333336,9508.170617578393
2010-06-24,17217.85,9410,9.753759992940966,9.149634496858788,3,6,2,False,False,25098.239999999998,22635.35,20415.92,15018.728571428572,19390.357333333337,8607.250603821238
2010-06-25,12371.59,6502,9.423238820996392,8.780018887869153,4,6,2,False,False,17217.85,17788.69,29586.64,14244.800000000001,19283.755,8032.631706333863
2010-06-26,0.0,0,0.0,0.0,5,6,2,True,False,12371.59,0.0,29221.670000000002,13470.92857142857,18709.92,7894.055286879763
2010-06-27,18706.92,10851,9.836702242591176,9.292104673778823,6,6,2,True,False,0.0,9078.58,18569.88,13470.92857142857,17735.86433333333,7894.055286879763
